study_period,subject,femaleID,kin
m19,Ako,Mif,0
m19,Ako,Mik,0
m19,Ako,Ntm,0
m19,Ako,Ntr,0
m19,Ako,Tam,0
m19,Ako,Ten,0
m19,Ako,Tot,0
m19,Ako,Trt,0
m19,Hen,Aka,0
m19,Hen,Ako,0
m19,Hen,Anz,0
m19,Hen,Coc,0
m19,Hen,Har,0
m19,Hen,Hot,0
m19,Hen,Kil,0
m19,Hen,Kit,0
m19,Hen,Koh,0
m19,Hen,Kol,0
m19,Hen,Kun,0
m19,Hen,Kur,0
m19,Hen,Mal,0
m19,Hen,Mei,0
m19,Hen,Mif,0
m19,Hen,Mik,0
m19,Hen,Ntm,0
m19,Hen,Ntr,0
m19,Hen,Tam,0
m19,Hen,Ten,0
m19,Hen,Tot,0
m19,Hen,Trt,0
m19,Hot,Aka,0
m19,Hot,Ako,0
m19,Hot,Anz,0
m19,Hot,Coc,0
m19,Hot,Har,0.5
m19,Hot,Hen,0
m19,Hot,Kil,0
m19,Hot,Kit,0
m19,Hot,Koh,0
m19,Hot,Kol,0
m19,Hot,Kun,0
m19,Hot,Kur,0
m19,Hot,Mal,0
m19,Hot,Mei,0
m19,Hot,Mif,0
m19,Hot,Mik,0
m19,Hot,Ntm,0
m19,Hot,Ntr,0
m19,Hot,Tam,0
m19,Hot,Ten,0
m19,Hot,Tot,0
m19,Hot,Trt,0
m19,Kil,Aka,0
m19,Kil,Ako,0
m19,Kil,Anz,0
m19,Kil,Coc,0.125
m19,Kil,Har,0
m19,Kil,Hen,0
m19,Kil,Hot,0
m19,Kil,Kit,0.5
m19,Kil,Koh,0.25
m19,Kil,Kol,0.125
m19,Kil,Kun,0.125
m19,Kil,Kur,0.25
m19,Kil,Mal,0
m19,Kil,Mei,0
m19,Kil,Mif,0
m19,Kil,Mik,0
m19,Kil,Ntm,0
m19,Kil,Ntr,0
m19,Kil,Tam,0
m19,Kil,Ten,0
m19,Kil,Tot,0
m19,Kil,Trt,0
m19,Kit,Aka,0
m19,Kit,Ako,0
m19,Kit,Anz,0
m19,Kit,Coc,0.0625
m19,Kit,Har,0
m19,Kit,Hen,0
m19,Kit,Hot,0
m19,Kit,Kil,0.5
m19,Kit,Koh,0.125
m19,Kit,Kol,0.0625
m19,Kit,Kun,0.0625
m19,Kit,Kur,0.125
m19,Kit,Mal,0
m19,Kit,Mei,0
m19,Kit,Mif,0
m19,Kit,Mik,0
m19,Kit,Ntm,0
m19,Kit,Ntr,0
m19,Kit,Tam,0
m19,Kit,Ten,0
m19,Kit,Tot,0
m19,Kit,Trt,0
m19,Koh,Aka,0
m19,Koh,Ako,0
m19,Koh,Anz,0
m19,Koh,Coc,0.5
m19,Koh,Har,0
m19,Koh,Hen,0
m19,Koh,Hot,0
m19,Koh,Kil,0.25
m19,Koh,Kit,0.125
m19,Koh,Kol,0.125
m19,Koh,Kun,0.125
m19,Koh,Kur,0.25
m19,Koh,Mal,0
m19,Koh,Mei,0
m19,Koh,Mif,0
m19,Koh,Mik,0
m19,Koh,Ntm,0
m19,Koh,Ntr,0
m19,Koh,Tam,0
m19,Koh,Ten,0
m19,Koh,Tot,0
m19,Koh,Trt,0
m19,Kol,Aka,0
m19,Kol,Ako,0
m19,Kol,Anz,0
m19,Kol,Coc,0.0625
m19,Kol,Har,0
m19,Kol,Hen,0
m19,Kol,Hot,0
m19,Kol,Kil,0.125
m19,Kol,Kit,0.0625
m19,Kol,Koh,0.125
m19,Kol,Kun,0.25
m19,Kol,Kur,0.5
m19,Kol,Mal,0
m19,Kol,Mei,0
m19,Kol,Mif,0
m19,Kol,Mik,0
m19,Kol,Ntm,0
m19,Kol,Ntr,0
m19,Kol,Tam,0
m19,Kol,Ten,0
m19,Kol,Tot,0
m19,Kol,Trt,0
m19,Kun,Aka,0
m19,Kun,Ako,0
m19,Kun,Anz,0
m19,Kun,Coc,0.0625
m19,Kun,Har,0
m19,Kun,Hen,0
m19,Kun,Hot,0
m19,Kun,Kil,0.125
m19,Kun,Kit,0.0625
m19,Kun,Koh,0.125
m19,Kun,Kol,0.25
